brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Maruti Suzuki,Grand_Vitara,VA,SUV,Hybrid,Manual,1.5L Strong Hybrid (115PS),12.27,27.97 kmpl,5,373,4 Star,Hybrid strong tech,Strong Hybrid mid,Best mileage hybrid,Price higher,Hybrid mid,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,VM,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),12.77,20.5 kmpl,5,373,4 Star,AT automatic premium,AT Grand Vitara,Easy AT drive,AT price,AT GV,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,VS,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),13.27,21.1 kmpl,5,373,4 Star,Touchscreen 6 airbags,Top safety GV,Best safety,Price higher,Safety GV,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,VZ,SUV,Hybrid,Manual,1.5L Strong Hybrid (115PS),13.77,27.97 kmpl,5,373,4 Star,Hybrid 6 airbags top,Top Strong Hybrid,Best hybrid features,Expensive,Top hybrid,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,VZ+AT,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),14.77,20.5 kmpl,5,373,4 Star,AT 6 airbags premium,Top AT GV,Ultimate AT,Expensive,Top AT GV,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,Alpha Hybrid,SUV,Hybrid,Automatic AT,1.5L Strong Hybrid (115PS),15.77,27.97 kmpl,5,373,4 Star,Hybrid AT premium,Top AT Hybrid,Best hybrid AT,High price,Top AT Hybrid,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,Alpha Hybrid AT,SUV,Hybrid,Automatic AT,1.5L Strong Hybrid (115PS),17.77,27.97 kmpl,5,373,4 Star,Top Hybrid ultimate,Ultimate Hybrid,Ultimate features,Most expensive,Ultimate Grand Vitara,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,7Seater,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),16.77,21.1 kmpl,7,Not specified,4 Star,7 seater premium,7 seater Grand Vitara,7 seater SUV,Price higher,7 seater buyers,https://www.marutisuzuki.com
Maruti Suzuki,Invicto,GA,MPV,Hybrid,Manual,2.0L Hybrid (184PS),18.5,27.9 kmpl,7,Not specified,4 Star,Hybrid premium MPV,Entry Invicto hybrid,Budget hybrid MPV,Basic features,Budget hybrid MPV,https://www.marutisuzuki.com
Maruti Suzuki,Invicto,ZE,MPV,Hybrid,Automatic AT,2.0L Hybrid (184PS),19.5,27.9 kmpl,7,Not specified,4 Star,Hybrid AT premium,Top Hybrid MPV,Best hybrid features,Expensive,Top Hybrid MPV,https://www.marutisuzuki.com
Maruti Suzuki,Invicto,ZX,MPV,Hybrid,Automatic AT,2.0L Hybrid (184PS),20.5,27.9 kmpl,7,Not specified,4 Star,Hybrid AT 6 airbags,Ultimate Hybrid MPV,Full hybrid features,Most expensive,Ultimate MPV,https://www.marutisuzuki.com
Maruti Suzuki,Fور援e,GA,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),10.5,18.5 kmpl,5,Not specified,Not specified,Touchscreen basic,Entry Fourre SUV,Budget SUV,Basic features,Budget SUV,https://www.marutisuzuki.com
Maruti Suzuki,Jimny,GA,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),10.5,20 kmpl,5,Not specified,Not specified,Rugged offroad basic,Entry Jimny offroad,Offroad rugged,Basic features,Offroad entry,https://www.marutisuzuki.com
Maruti Suzuki,Jimny,JA,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),11,20 kmpl,5,Not specified,Not specified,Rugged offroad premium,Popular mid Jimny,Good balance,Price higher,Value Jimny,https://www.marutisuzuki.com
Maruti Suzuki,Jimny,JA+AT,SUV,Petrol,Automatic AT,1.2L K12 Petrol (90PS/113Nm),12.5,19.5 kmpl,5,Not specified,Not specified,AT offroad premium,AT Jimny offroad,Easy AT offroad,AT price,AT Jimny,https://www.marutisuzuki.com
Maruti Suzuki,Jimny,ZA+AT,SUV,Petrol,Automatic AT,1.2L K12 Petrol (90PS/113Nm),13.5,19.5 kmpl,5,Not specified,Not specified,AT offroad ultimate,Ultimate Jimny,Full offroad,Most expensive,Ultimate offroad,https://www.marutisuzuki.com
Maruti Suzuki,Eeco,GA,MPV,Petrol,Manual,1.2L G12B Petrol (82PS/105Nm),5.5,19 kmpl,5/7,Not specified,Not specified,Basic commercial MPV,Entry Eeco commercial,Budget commercial,Basic features,Budget commercial,https://www.marutisuzuki.com
Maruti Suzuki,Eeco,GC,MPV,Petrol,Manual,1.2L G12B Petrol (82PS/105Nm),5.8,19 kmpl,5/7,Not specified,Not specified,Commercial premium,Popular Eeco,Good balance,Price,Value Eeco,https://www.marutisuzuki.com
Maruti Suzuki,Eeco,HA,MPV,Petrol,Manual,1.2L G12B Petrol (82PS/105Nm),6.1,19 kmpl,5/7,Not specified,Not specified,Commercial feature,Feature Eeco,Good features,Manual,Feature Eeco,https://www.marutisuzuki.com
Maruti Suzuki,S_Presso,GA,SUV,Petrol,Manual,1.0L K10B Petrol (67PS/90Nm),3.5,22 kmpl,5,Not specified,Not specified,Basic micro SUV,Entry Spresso micro,Budget micro SUV,Basic features,Budget micro,https://www.marutisuzuki.com
Maruti Suzuki,S_Presso,GC,SUV,Petrol,Manual,1.0L K10B Petrol (67PS/90Nm),3.8,22 kmpl,5,Not specified,Not specified,Micro premium,Popular Spresso,Good balance,Price,Value Spresso,https://www.marutisuzuki.com
Maruti Suzuki,S_Presso,HA,SUV,Petrol,Manual,1.0L K10B Petrol (67PS/90Nm),4.1,22 kmpl,5,Not specified,Not specified,Micro feature,Feature Spresso,Good features,Manual,Feature Spresso,https://www.marutisuzuki.com
Maruti Suzuki,S_Presso,HC,SUV,Petrol,Automatic AMT,1.0L K10B Petrol (67PS/90Nm),4.5,21 kmpl,5,Not specified,Not specified,AMT micro premium,AMT Spresso,Easy AMT drive,AMT price,AMT Spresso,https://www.marutisuzuki.com
Maruti Suzuki,e_Vitara,Bruh,Electric SUV,Electric,Automatic,165 bhp 55.9 kWh,15.99,593 km,5,Not specified,5 Star,EV premium SUV,Entry e Vitara EV,Affordable EV SUV,Basic EV infra,Budget EV SUV,https://www.marutisuzuki.com
Maruti Suzuki,e_Vitara,Max,Electric SUV,Electric,Automatic,165 bhp 55.9 kWh,17.99,593 km,5,Not specified,5 Star,EV premium features,Top e Vitara EV,Best EV features,Expensive,Top EV SUV,https://www.marutisuzuki.com
Maruti Suzuki,e_Vitara,Max+,Electric SUV,Electric,Automatic,200 bhp 55.9 kWh,20.01,593 km,5,Not specified,5 Star,EV ultimate features,Ultimate e Vitara,Ultimate EV,Most expensive,Ultimate EV,https://www.marutisuzuki.com
Maruti Suzuki,WagonR,GA,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5,22.5 kmpl,5,312,Not specified,Basic box hatch,Entry WagonR,Budget box hatch,Basic features,Budget box,https://www.marutisuzuki.com
Maruti Suzuki,WagonR,GC,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5.3,22.5 kmpl,5,312,Not specified,Box premium,Popular WagonR,Good balance,Price,Value WagonR,https://www.marutisuzuki.com
Maruti Suzuki,WagonR,HA,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5.6,22.5 kmpl,5,312,Not specified,Box feature,Feature WagonR,Good features,Manual,Feature WagonR,https://www.marutisuzuki.com
Maruti Suzuki,WagonR,HC,Hatchback,Petrol,Automatic AMT,1.2L K12 Petrol (90PS/113Nm),6,22 kmpl,5,312,Not specified,AMT box premium,AMT WagonR,Easy AMT,AMT price,AMT WagonR,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,GA,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),10.5,Not specified,5,Not specified,Not specified,Rugged SUV basic,Entry Victoris,Rugged SUV,Basic features,Rugged entry,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,VM,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),13.5,Not specified,5,Not specified,Not specified,AT rugged premium,AT Victoris,Easy AT rugged,AT price,AT Victoris,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,VS,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),14.5,Not specified,5,Not specified,Not specified,Rugged 6 airbags,Top safety Victoris,Best safety,Price,Safety Victoris,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,VZ,SAUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),15.5,Not specified,5,Not specified,Not specified,AT rugged 6 airbags,Top AT Victoris,Ultimate AT,Expensive,Top AT Victoris,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,Alpha,SUV,Hybrid,Manual,1.5L Strong Hybrid (115PS),17.5,27 kmpl,5,Not specified,Not specified,Hybrid rugged premium,Hybrid Victoris,Best hybrid mileage,Price,Hybrid Victoris,https://www.marutisuzuki.com
Maruti Suzuki,Victoris,Alpha AT,SUV,Hybrid,Automatic AT,1.5L Strong Hybrid (115PS),19.99,27 kmpl,5,Not specified,Not specified,AT hybrid ultimate,Ultimate Hybrid Victoris,Ultimate hybrid,Most expensive,Ultimate Victoris,https://www.marutisuzuki.com
