brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Hyundai,i20_N_Line,NL+,Hatchback,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),11.73,18.5 kmpl,5,311,Not specified,Turbo DCT top,Top DCT N Line,Ultimate DCT,Expensive,Top N Line,https://www.hyundai.com/in/en
Hyundai,Exter,ERA,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),5.8,19.5 kmpl,5,317,Not specified,Touchscreen basic,Entry Exter micro SUV,Budget micro SUV,Basic features,Budget Exter,https://www.hyundai.com/in/en
Hyundai,Exter,Magna,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.3,19.5 kmpl,5,317,Not specified,Touchscreen dual airbags,Popular mid Exter,Good balance,Price higher,Value Exter,https://www.hyundai.com/in/en
Hyundai,Exter,Sport,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.8,19.5 kmpl,5,317,Not specified,Touchscreen 4 airbags,Feature mid Exter,Good features,Manual,Feature Exter,https://www.hyundai.com/in/en
Hyundai,Exter,Top,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.3,19.5 kmpl,5,317,Not specified,Touchscreen premium,Top mid Exter,Best features,Expensive,Top mid Exter,https://www.hyundai.com/in/en
Hyundai,Exter,Astam,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.8,19.5 kmpl,5,317,Not specified,Touchscreen 6 airbags,Top Exter safety,Best safety,Price higher,Safety Exter,https://www.hyundai.com/in/en
Hyundai,Exter,AstamAMT,SUV,Petrol,Automatic AMT,1.2L Kappa Petrol (83PS/114Nm),8.3,19 kmpl,5,317,Not specified,AMT automatic top,Top AMT Exter,Ultimate AMT,Expensive,Top AMT Exter,https://www.hyundai.com/in/en
Hyundai,Exter,CNG,SUV,CNG,Manual,1.2L CNG,6.6,22 km/kg,5,317,Not specified,CNG basic Exter,Budget CNG Exter,Cost effective,Slower,Budget CNG Exter,https://www.hyundai.com/in/en
Hyundai,Exter,CNG+Astam,SUV,CNG,Manual,1.2L CNG,7.6,22 km/kg,5,317,Not specified,CNG premium top,Top CNG Exter,Full CNG features,Expensive,Top CNG Exter,https://www.hyundai.com/in/en
Hyundai,Venue,ERA,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.99,19.5 kmpl,5,300,Not specified,Touchscreen basic,Entry Venue compact SUV,Budget compact SUV,Basic features,Budget Venue,https://www.hyundai.com/in/en
Hyundai,Venue,Magna,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),8.49,19.5 kmpl,5,300,Not specified,Touchscreen dual airbags,Popular mid Venue,Good balance,Price higher,Value Venue,https://www.hyundai.com/in/en
Hyundai,Venue,Sport,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),8.99,19.5 kmpl,5,300,Not specified,Touchscreen 4 airbags,Feature mid Venue,Good features,Manual,Feature Venue,https://www.hyundai.com/in/en
Hyundai,Venue,Top,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),9.49,19.5 kmpl,5,300,Not specified,Touchscreen premium,Top mid Venue,Best features,Expensive,Top mid Venue,https://www.hyundai.com/in/en
Hyundai,Venue,Astam,SUV,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),9.99,19.5 kmpl,5,300,Not specified,Touchscreen 6 airbags,Top Venue safety,Best safety,Price higher,Safety Venue,https://www.hyundai.com/in/en
Hyundai,Venue,AstamIVT,SUV,Petrol,Automatic IVT,1.2L Kappa Petrol (83PS/114Nm),10.49,19 kmpl,5,300,Not specified,IVT automatic top,Top IVT Venue,Ultimate IVT,Expensive,Top IVT Venue,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NL,SUV,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),10.66,18.5 kmpl,5,300,Not specified,Turbo sport basic,Entry Venue N Line,Sporty turbo Venue,Basic features,N Line entry,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NL+,SUV,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),11.16,18.5 kmpl,5,300,Not specified,Turbo sport mid,Mid Venue N Line,Good features,Price higher,N Line mid,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NLDCT,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),11.66,18 kmpl,5,300,Not specified,Turbo DCT sport,DCT Venue N Line,Easy DCT drive,DCT price,N Line DCT,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NL+,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),12.66,18 kmpl,5,300,Not specified,Turbo DCT top,Top DCT Venue N Line,Ultimate DCT,Expensive,Top N Line,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NLDCT+,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),13.66,18 kmpl,5,300,Not specified,Turbo DCT premium,Top DCT+ Venue N Line,Best DCT+,High price,Top DCT+,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NL+,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),14.66,18 kmpl,5,300,Not specified,Turbo DCT+ ultimate,Ultimate DCT+ Venue,Ultimate features,Most expensive,Ultimate Venue,https://www.hyundai.com/in/en
Hyundai,Venue_N_Line,NL+,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),15.66,18 kmpl,5,300,Not specified,Turbo DCT+ ultimate,Ultimate DCT+ Venue,Ultimate features,Most expensive,Ultimate Venue,https://www.hyundai.com/in/en
Hyundai,Creta,S,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),10.9,19.7 kmpl,5,433,4 Star,Touchscreen basic,Entry Creta compact SUV,Budget Creta,Basic features,Budget Creta,https://www.hyundai.com/in/en
Hyundai,Creta,EX,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),11.4,19.7 kmpl,5,433,4 Star,Touchscreen dual airbags,Popular mid Creta,Good balance,Price higher,Value Creta,https://www.hyundai.com/in/en
Hyundai,Creta,SX,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),11.9,19.7 kmpl,5,433,4 Star,Touchscreen 4 airbags,Feature mid Creta,Good features,Manual,Feature Creta,https://www.hyundai.com/in/en
Hyundai,Creta,Play,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),12.4,19.7 kmpl,5,433,4 Star,Touchscreen premium,Top mid Creta,Best features,Expensive,Top mid Creta,https://www.hyundai.com/in/en
Hyundai,Creta,SX+,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),12.9,19.7 kmpl,5,433,4 Star,Touchscreen 6 airbags,Top Creta safety,Best safety,Price higher,Safety Creta,https://www.hyundai.com/in/en
Hyundai,Creta,SX+,SUV,Petrol,Automatic IVT,1.5L Kappa Petrol (113PS/144Nm),13.9,19 kmpl,5,433,4 Star,IVT automatic premium,IVT Creta,Easy IVT drive,IVT price,IVT Creta,https://www.hyundai.com/in/en
Hyundai,Creta,SX_Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),14.5,18 kmpl,5,433,4 Star,Diesel mid Creta,Mid Diesel Creta,Powerful diesel,Price higher,Mid Diesel,https://www.hyundai.com/in/en
Hyundai,Creta,SX+_Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),15.5,18 kmpl,5,433,4 Star,Diesel 6 airbags,Top Diesel Creta,Best Diesel safety,Expensive,Top Diesel,https://www.hyundai.com/in/en
Hyundai,Creta,SX+_Diesel_AT,SUV,Diesel,Automatic AT,1.5L Diesel (115PS/250Nm),16.5,17.5 kmpl,5,433,4 Star,Diesel AT premium,Diesel AT Creta,Easy AT diesel,AT price,AT Diesel Creta,https://www.hyundai.com/in/en
Hyundai,Creta,S-Opt,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),17.5,19.7 kmpl,5,433,4 Star,Top S Opt Creta,S Opt Creta,Full features,Expensive,S Opt Creta,https://www.hyundai.com/in/en
Hyundai,Creta,S_Opt_IVT,SUV,Petrol,Automatic IVT,1.5L Kappa Petrol (113PS/144Nm),18.5,19 kmpl,5,433,4 Star,Top IVT S Opt,Ultimate IVT Creta,Best IVT features,Most expensive,Ultimate Creta,https://www.hyundai.com/in/en
Hyundai,Creta,S_Opt_Turbo,SUV,Petrol,Manual,1.4L Turbo Petrol (140PS/242Nm),19.11,19 kmpl,5,433,4 Star,Turbo 6 airbags top,Top Turbo Creta,Best Turbo,High price,Top Turbo,https://www.hyundai.com/in/en
Hyundai,Creta,S_Opt_Turbo_DCT,SUV,Petrol,Automatic DCT,1.4L Turbo Petrol (140PS/242Nm),20.11,18.5 kmpl,5,433,4 Star,Turbo DCT ultimate,Ultimate Turbo DCT,Best Turbo DCT,Most expensive,Ultimate Turbo,https://www.hyundai.com/in/en
Hyundai,Creta_Electric,Smart,Electric SUV,Electric,Automatic,42 kWh Electric Motor (134 bhp),18.02,345 km,5,433,5 Star,6 airbags EV basic,Entry Creta EV,Budget EV Creta,Basic EV infra,Budget EV Creta,https://www.hyundai.com/in/en
Hyundai,Creta_Electric,Plush,Electric SUV,Electric,Automatic,42 kWh Electric Motor (134 bhp),19.52,345 km,5,433,5 Star,Touchscreen EV premium,Mid EV Creta,Good EV features,Expensive,Mid EV Creta,https://www.hyundai.com/in/en
Hyundai,Creta_Electric,Plush+51.4kWh,Electric SUV,Electric,Automatic,51.4 kWh Electric Motor (134 bhp),21.52,421 km,5,433,5 Star,Touchscreen EV premium long,Mid EV Plush+ Better EV range,Good EV long range,Price higher,Mid EV Plush+,https://www.hyundai.com/in/en
Hyundai,Creta_Electric,Style+51.4kWh,Electric SUV,Electric,Automatic,51.4 kWh Electric Motor (134 bhp),23.52,421 km,5,433,5 Star,Top EV Style+ 6 airbags,Top EV Creta,Best EV features,Expensive,Top EV Creta,https://www.hyundai.com/in/en
Hyundai,Creta_Electric,Style+51.4kWh+,Electric SUV,Electric,Automatic,51.4 kWh Electric Motor (134 bhp),24.7,421 km,5,433,5 Star,Ultimate EV Style+ max,Ultimate EV Creta,Ultimate features,Most expensive,Ultimate EV Creta,https://www.hyundai.com/in/en
Hyundai,Creta_N_Line,NL,SUV,Petrol,Manual,1.5L Turbo Petrol (160PS/250Nm),19.03,18 kmpl,5,433,Not specified,Turbo sport base,Entry Creta N Line,Sporty Creta turbo,Basic features,N Line entry,https://www.hyundai.com/in/en
Hyundai,Creta_N_Line,NL+,SUV,Petrol,DCT,1.5L Turbo Petrol (160PS/250Nm),20.09,17.5 kmpl,5,433,Not specified,Turbo DCT top,Top Creta N Line,Ultimate DCT,Expensive,Top N Line,https://www.hyundai.com/in/en
Hyundai,Alcazar,Atlas,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),14.5,19.5 kmpl,6/7,462,Not specified,Touchscreen basic,Entry Alcazar 7 seater,Budget 7 seater SUV,Basic features,Budget 7 seater,https://www.hyundai.com/in/en
Hyundai,Alcazar,Titan,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),15,19.5 kmpl,6/7,462,Not specified,Touchscreen dual airbags,Popular mid Alcazar,Good balance,Price higher,Value Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Caesar,SUV,Petrol,Manual,1.5L Kappa Petrol (113PS/144Nm),15.5,19.5 kmpl,6/7,462,Not specified,Touchscreen 4 airbags,Feature mid Alcazar,Good features,Manual,Feature Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Legion,SUV,Petrol,Automatic IVT,1.5L Kappa Petrol (113PS/144Nm),16.5,18.5 kmpl,6/7,462,Not specified,IVT automatic premium,IVT Alcazar,Easy IVT 7 seater,IVT price,IVT Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Atlas_Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),16.5,18 kmpl,6/7,462,Not specified,Diesel entry 7 seater,Entry Diesel Alcazar,Powerful diesel,Price higher,Diesel Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Titan_Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),17,18 kmpl,6/7,462,Not specified,Diesel mid 7 seater,Mid Diesel Alcazar,Good Diesel,Price higher,Mid Diesel Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Caesar_Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),17.5,18 kmpl,6/7,462,Not specified,Diesel 4 airbags 7,Feature Diesel Alcazar,Good Diesel features,Manual,Feature Diesel,https://www.hyundai.com/in/en
Hyundai,Alcazar,Legion_Diesel,SUV,Diesel,Automatic AT,1.5L Diesel (115PS/250Nm),18.5,17.5 kmpl,6/7,462,Not specified,Diesel AT premium,Diesel AT Alcazar,Easy AT Diesel,AT price,AT Diesel Alcazar,https://www.hyundai.com/in/en
Hyundai,Alcazar,Titan_DCT,SUV,Petrol,Automatic DCT,1.5L Turbo Petrol (160PS/250Nm),19.5,17 kmpl,6/7,462,Not specified,Turbo DCT 7 seater,Turbo DCT Alcazar,Powerful DCT,Expensive,Turbo DCT,https://www.hyundai.com/in/en
Hyundai,Alcazar,Caesar_DCT,SUV,Petrol,Automatic DCT,1.5L Turbo Petrol (160PS/160PS),20.5,17 kmpl,6/7,462,Not specified,Turbo DCT 7 feature,Turbo DCT feature Alcazar,Best Turbo DCT,High price,Turbo DCT feature,https://www.hyundai.com/in/en
Hyundai,Alcazar,Legion_DCT,SUV,Petrol,Automatic DCT,1.5L Turbo Petrol (160PS/250Nm),21.24,17 kmpl,6/7,462,Not specified,Turbo DCT ultimate,Ultimate Turbo DCT Alcazar,Ultimate Turbo DCT,Most expensive,Ultimate Turbo,https://www.hyundai.com/in/en
Hyundai,Tucson,e-Smart,SUV,Petrol,Manual,1.6L Turbo Petrol (177PS/265Nm),27.5,14 kmpl,5,441,4 Star,Touchscreen premium,Urban luxury SUV,Tucson premium,Basic features,Urban luxury,https://www.hyundai.com/in/en
Hyundai,Tucson,e-Smart_DCT,SUV,Petrol,Automatic DCT,1.6L Turbo Petrol (177PS/265Nm),29.5,13.5 kmpl,5,441,4 Star,DCT automatic premium,DCT Tucson,Easy DCT drive,DCT price,DCT Tucson,https://www.hyundai.com/in/en
Hyundai,Tucson,Signature,SUV,Petrol,Automatic AT,1.6L Turbo Petrol (177PS/265Nm),31.5,13 kmpl,5,441,4 Star,AT premium ultimate,Top AT Tucson,Ultimate AT features,Expensive,Top AT Tucson,https://www.hyundai.com/in/en
Hyundai,Tucson,Hybrid,SUV,Hybrid,Automatic AT,1.6L Turbo Hybrid (230PS),33.5,18 kmpl,5,441,4 Star,Hybrid AT premium,Hybrid Tucson,Strong hybrid mileage,High price,Hybrid Tucson,https://www.hyundai.com/in/en
Hyundai,IONIQ_5,Smart,Electric SUV,Electric,Automatic,72.6 kWh Electric Motor (235 bhp),55.7,610 km,5,Not specified,5 Star,6 airbags EV premium,Entry IONIQ 5 EV,Premium EV SUV,Basic EV infra,Budget EV premium,https://www.hyundai.com/in/en
Hyundai,IONIQ_5,Plush,Electric SUV,Electric,Automatic,72.6 kWh Electric Motor (235 bhp),58.7,610 km,5,Not specified,5 Star,Touchscreen EV premium,Mid IONIQ 5 EV,Good EV features,Expensive,Mid EV premium,https://www.hyundai.com/in/en
Hyundai,IONIQ_5,Ultimate,Electric SUV,Electric,Automatic,72.6 kWh Electric Motor (235 bhp),60,610 km,5,Not specified,5 Star,Touchscreen EV ultimate,Top IONIQ 5 EV,Best EV features,Most expensive,Ultimate EV,https://www.hyundai.com/in/en
Hyundai,Prime_HB,Taxi,CNG,Taxi,Manual,1.2L CNG,6.4,25 km/kg,5,Not specified,Not specified,CNG taxi basic,Budget CNG taxi,Cost effective taxi,Slower,Budget taxi,https://www.hyundai.com/in/en
Hyundai,Prime_SD,Taxi,CNG,Taxi,Manual,1.2L CNG,6.95,25 km/kg,5,Not specified,Not specified,CNG taxi premium,Budget CNG taxi SD,Taxi SD cost effective,Price higher,Taxi SD,https://www.hyundai.com/in/en
