brand,model,body_type,fuel_type,transmission,engine_spec,variant_type,seating,boot_space_l,range_or_mileage,price_range_exshowroom_in_lakh,battery_kwh,price_lakh
Tata,Altroz EV,Hatchback,Electric,Automatic,"120 kW PMSM, 30 kWh Battery",DL,5,345,300–400 km (ARAI),13.5–14.5,30.0,14.5
Tata,Altroz EV,Hatchback,Electric,Automatic,"120 kW PMSM, 30 kWh Battery",DL+ LUX,5,345,300–400 km (ARAI),14.5–15.5,30.0,15.5
Tata,Altroz EV,Hatchback,Electric,Automatic,"120 kW PMSM, 30 kWh Battery",DL+ S,5,345,300–400 km (ARAI),15.5–16.0,30.0,16.0
Tata,Tiago,Hatchback,Petrol,Manual,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI)",XE,5,242,19–20 kmpl,4.57–5.30,,5.3
Tata,Tiago,Hatchback,Petrol,Manual,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI)",XM,5,242,19–20 kmpl,5.30–5.80,,5.8
Tata,Tiago,Hatchback,Petrol,Manual,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI)",XT,5,242,19–20 kmpl,5.80–6.80,,6.8
Tata,Tiago,Hatchback,Petrol,Manual,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI)",XZ,5,242,19–20 kmpl,6.40–6.80,,6.8
Tata,Tiago,Hatchback,Petrol,Manual,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI)",XZ Plus,5,242,19–20 kmpl,6.77–6.90,,6.9
Tata,Tiago,Hatchback,Petrol,Automatic,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI), 5‑speed AMT",XZ,5,242,18–19 kmpl,6.91–7.20,,7.2
Tata,Tiago,Hatchback,Petrol,Automatic,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI), 5‑speed AMT",XZ Plus,5,242,18–19 kmpl,7.20–7.50,,7.5
Tata,Tiago,Hatchback,Petrol,Automatic,"1.2L Revotron 85 bhp, 1199 cc, 19.01 kmpl (ARAI), 5‑speed AMT",XZA AMT,5,242,18–19 kmpl,7.20–7.82,,7.82
Tata,Tiago,Hatchback,CNG,Manual,"1.1L Revotron 72.3 bhp, iCNG, 26.49 km/kg (ARAI)",XE CNG,5,242,26–27 km/kg,5.49–6.00,,6.0
Tata,Tiago,Hatchback,CNG,Manual,"1.1L Revotron 72.3 bhp, iCNG, 26.49 km/kg (ARAI)",XT CNG,5,242,26–27 km/kg,6.72–7.20,,7.2
Tata,Tiago,Hatchback,CNG,Manual,"1.1L Revotron 72.3 bhp, iCNG, 26.49 km/kg (ARAI)",XZ CNG,5,242,26–27 km/kg,7.10–7.50,,7.5
Tata,Tiago,Hatchback,CNG,Automatic,"1.1L Revotron 72.3 bhp, iCNG, 26.49 km/kg (ARAI), 5‑speed AMT",XZ CNG,5,242,25–26 km/kg,7.50–7.82,,7.82
Tata,Tiago,Hatchback,Electric,Automatic,"Permanent Magnet Synchronous Motor, 45–55 kW, 110–114 Nm, 19.2–24 kWh Battery",CL,5,242,293–315 km (ARAI),7.99–8.30,24.0,8.3
Tata,Tiago,Hatchback,Electric,Automatic,"Permanent Magnet Synchronous Motor, 45–55 kW, 110–114 Nm, 19.2–24 kWh Battery",DL,5,242,293–315 km (ARAI),8.30–9.00,24.0,9.0
Tata,Tiago,Hatchback,Electric,Automatic,"Permanent Magnet Synchronous Motor, 45–55 kW, 110–114 Nm, 19.2–24 kWh Battery",DL Plus,5,242,293–315 km (ARAI),9.00–10.50,24.0,10.5
Tata,Tigor,Sedan,Petrol,Manual,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 19–20 kmpl (ARAI)",XE,5,419,19–20 kmpl,5.55–6.20,,6.2
Tata,Tigor,Sedan,Petrol,Manual,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 19–20 kmpl (ARAI)",XM,5,419,19–20 kmpl,6.20–6.80,,6.8
Tata,Tigor,Sedan,Petrol,Manual,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 19–20 kmpl (ARAI)",XT,5,419,19–20 kmpl,6.80–7.50,,7.5
Tata,Tigor,Sedan,Petrol,Manual,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 19–20 kmpl (ARAI)",XZ,5,419,19–20 kmpl,7.50–8.20,,8.2
Tata,Tigor,Sedan,Petrol,Manual,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 19–20 kmpl (ARAI)",XZ+ Prime,5,419,19–20 kmpl,8.20–8.84,,8.84
Tata,Tigor,Sedan,Petrol,Automatic,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 18–19 kmpl (ARAI), 5‑speed AMT",XZ,5,419,18–19 kmpl,6.80–7.50,,7.5
Tata,Tigor,Sedan,Petrol,Automatic,"1.2L Revotron 1199 cc, 84.8–85 bhp, 113–110 Nm, 18–19 kmpl (ARAI), 5‑speed AMT",XZ+ Prime,5,419,18–19 kmpl,7.50–8.50,,8.5
Tata,Tigor,Sedan,CNG,Manual,"1.2L Revotron 1199 cc, 72.3 bhp, 95–96 Nm, 25–27 km/kg (ARAI)",XT CNG,5,419,25–27 km/kg,7.20–7.80,,7.8
Tata,Tigor,Sedan,CNG,Manual,"1.2L Revotron 1199 cc, 72.3 bhp, 95–96 Nm, 25–27 km/kg (ARAI)",XZ CNG,5,419,25–27 km/kg,7.80–8.50,,8.5
Tata,Tigor,Sedan,CNG,Manual,"1.2L Revotron 1199 cc, 72.3 bhp, 95–96 Nm, 25–27 km/kg (ARAI)",XZ+ CNG,5,419,25–27 km/kg,8.50–9.00,,9.0
Tata,Tigor,Sedan,CNG,Automatic,"1.2L Revotron 1199 cc, 72.3 bhp, 95–96 Nm, 25–26 km/kg (ARAI), 5‑speed AMT",XT CNG,5,419,25–26 km/kg,7.80–8.20,,8.2
Tata,Tigor,Sedan,CNG,Automatic,"1.2L Revotron 1199 cc, 72.3 bhp, 95–96 Nm, 25–26 km/kg (ARAI), 5‑speed AMT",XZ CNG,5,419,25–26 km/kg,8.20–8.80,,8.8
Tata,Tigor EV,Sedan,Electric,Automatic,"Permanent Magnet Synchronous Motor, 73–74 bhp, 110 Nm, 26 kWh Battery",XE,5,419,300–315 km (ARAI),12.49–12.99,26.0,12.99
Tata,Tigor EV,Sedan,Electric,Automatic,"Permanent Magnet Synchronous Motor, 73–74 bhp, 110 Nm, 26 kWh Battery",XT,5,419,300–315 km (ARAI),12.99–13.20,26.0,13.2
Tata,Tigor EV,Sedan,Electric,Automatic,"Permanent Magnet Synchronous Motor, 73–74 bhp, 110 Nm, 26 kWh Battery",XZ Plus,5,419,300–315 km (ARAI),13.20–13.49,26.0,13.49
Tata,Tigor EV,Sedan,Electric,Automatic,"Permanent Magnet Synchronous Motor, 73–74 bhp, 110 Nm, 26 kWh Battery",XZ Plus LUX,5,419,300–315 km (ARAI),13.49–13.75,26.0,13.75
Tata,Nexon,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XE,5,350,16–18 kmpl,9.0–10.0,,10.0
Tata,Nexon,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XM,5,350,16–18 kmpl,10.0–11.0,,11.0
Tata,Nexon,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XZ,5,350,16–18 kmpl,11.0–12.0,,12.0
Tata,Nexon,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XZ+ Prime,5,350,16–18 kmpl,12.0–12.8,,12.8
Tata,Nexon,Compact SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 6‑speed DCT",XZ,5,350,15–17 kmpl,11.0–12.0,,12.0
Tata,Nexon,Compact SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 6‑speed DCT",XZ+ Prime,5,350,15–17 kmpl,12.0–14.5,,14.5
Tata,Nexon,Compact SUV,Diesel,Manual,"1.5L Turbo Diesel 110 bhp, 240 Nm, 18–20 kmpl (ARAI)",XE,5,350,18–20 kmpl,10.5–11.5,,11.5
Tata,Nexon,Compact SUV,Diesel,Manual,"1.5L Turbo Diesel 110 bhp, 240 Nm, 18–20 kmpl (ARAI)",XM,5,350,18–20 kmpl,11.5–12.5,,12.5
Tata,Nexon,Compact SUV,Diesel,Manual,"1.5L Turbo Diesel 110 bhp, 240 Nm, 18–20 kmpl (ARAI)",XZ,5,350,18–20 kmpl,12.5–13.5,,13.5
Tata,Nexon,Compact SUV,Diesel,Manual,"1.5L Turbo Diesel 110 bhp, 240 Nm, 18–20 kmpl (ARAI)",XZ+ Prime,5,350,18–20 kmpl,13.5–14.2,,14.2
Tata,Nexon,Compact SUV,Petrol,DCT,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 7‑speed DCT",XZ Pro,5,350,15–17 kmpl,13.0–14.0,,14.0
Tata,Nexon,Compact SUV,Petrol,DCT,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 7‑speed DCT",XZ Pro LUX,5,350,15–17 kmpl,14.0–14.5,,14.5
Tata,Nexon EV,Compact SUV,Electric,Automatic,"129 kW PMSM Motor, 30.2 kWh Battery",STD,5,350,350 km (ARAI),14.0–15.0,30.2,15.0
Tata,Nexon EV,Compact SUV,Electric,Automatic,"129 kW PMSM Motor, 30.2 kWh Battery",Medium,5,350,350–400 km (ARAI),15.0–16.0,30.2,16.0
Tata,Nexon EV,Compact SUV,Electric,Automatic,"129 kW PMSM Motor, 30.2 kWh Battery",Medium Pro,5,350,350–400 km (ARAI),16.0–17.0,30.2,17.0
Tata,Nexon EV,Compact SUV,Electric,Automatic,"129 kW PMSM Motor, 30.2 kWh Battery",Long Range,5,350,400–465 km (ARAI),17.0–18.0,30.2,18.0
Tata,Harrier,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 14–16 kmpl (ARAI)",XE,5–7,425,14–16 kmpl,16.0–17.0,,17.0
Tata,Harrier,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 14–16 kmpl (ARAI)",XM,5–7,425,14–16 kmpl,17.0–18.0,,18.0
Tata,Harrier,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 14–16 kmpl (ARAI)",XZ,5–7,425,14–16 kmpl,18.0–19.0,,19.0
Tata,Harrier,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 14–16 kmpl (ARAI)",XZ+ Prime,5–7,425,14–16 kmpl,19.0–20.0,,20.0
Tata,Harrier,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI), 6‑speed DCT",XZ,5–7,425,13–15 kmpl,18.5–19.5,,19.5
Tata,Harrier,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI), 6‑speed DCT",XZ+ Prime,5–7,425,13–15 kmpl,19.5–21.0,,21.0
Tata,Harrier,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI), 6‑speed DCT",XZ+ LUX,5–7,425,13–15 kmpl,21.0–22.5,,22.5
Tata,Harrier EV,SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",STD,5–7,425,450–480 km (ARAI),22.0–24.0,60.0,24.0
Tata,Harrier EV,SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",Medium,5–7,425,450–480 km (ARAI),24.0–26.0,60.0,26.0
Tata,Harrier EV,SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",Long Range,5–7,425,450–480 km (ARAI),26.0–27.0,60.0,27.0
Tata,Safari,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI)",XE,6–7,425,13–15 kmpl,18.0–19.0,,19.0
Tata,Safari,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI)",XM,6–7,425,13–15 kmpl,19.0–20.0,,20.0
Tata,Safari,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI)",XZ,6–7,425,13–15 kmpl,20.0–21.0,,21.0
Tata,Safari,SUV,Petrol,Manual,"2.0L Kryotec 170 bhp, 350 Nm, 13–15 kmpl (ARAI)",XZ+ Prime,6–7,425,13–15 kmpl,21.0–22.0,,22.0
Tata,Safari,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 12–14 kmpl (ARAI), 6‑speed DCT",XZ,6–7,425,12–14 kmpl,20.5–21.5,,21.5
Tata,Safari,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 12–14 kmpl (ARAI), 6‑speed DCT",XZ+ Prime,6–7,425,12–14 kmpl,21.5–23.0,,23.0
Tata,Safari,SUV,Petrol,Automatic,"2.0L Kryotec 170 bhp, 350 Nm, 12–14 kmpl (ARAI), 6‑speed DCT",XZ+ LUX,6–7,425,12–14 kmpl,23.0–25.5,,25.5
Tata,Safari EV,SUV,Electric,Automatic,"160–180 kW PMSM Motor, 60–70 kWh Battery",STD,6–7,425,"450–480 km (ARAI, expected)",26.0–28.0,60.0,28.0
Tata,Safari EV,SUV,Electric,Automatic,"160–180 kW PMSM Motor, 60–70 kWh Battery",Medium,6–7,425,"450–480 km (ARAI, expected)",28.0–30.0,60.0,30.0
Tata,Safari EV,SUV,Electric,Automatic,"160–180 kW PMSM Motor, 60–70 kWh Battery",Long Range,6–7,425,"480–500 km (ARAI, expected)",30.0–32.0,70.0,32.0
Tata,Sierra,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XE,5–6,340,16–18 kmpl,11.5–12.5,,12.5
Tata,Sierra,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XM,5–6,340,16–18 kmpl,12.5–13.5,,13.5
Tata,Sierra,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XZ,5–6,340,16–18 kmpl,13.5–14.5,,14.5
Tata,Sierra,Compact SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 16–18 kmpl (ARAI)",XZ+ Prime,5–6,340,16–18 kmpl,14.5–15.5,,15.5
Tata,Sierra,Compact SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 6‑speed DCT",XZ,5–6,340,15–17 kmpl,14.0–15.0,,15.0
Tata,Sierra,Compact SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI), 6‑speed DCT",XZ+ Prime,5–6,340,15–17 kmpl,15.0–17.0,,17.0
Tata,Sierra EV,Coupe SUV,Electric,Automatic,"160–165 kW PMSM Motor, 52–60 kWh Battery",STD,5,420,450–460 km (ARAI),20.0–22.0,60.0,22.0
Tata,Sierra EV,Coupe SUV,Electric,Automatic,"160–165 kW PMSM Motor, 52–60 kWh Battery",Medium,5,420,450–460 km (ARAI),22.0–25.0,60.0,25.0
Tata,Sierra EV,Coupe SUV,Electric,Automatic,"160–165 kW PMSM Motor, 52–60 kWh Battery",Long Range,5,420,450–460 km (ARAI),25.0–28.0,60.0,28.0
Tata,Curvv,Coupe SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI)",XE,5,420,15–17 kmpl,9.7–10.8,,10.8
Tata,Curvv,Coupe SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI)",XM,5,420,15–17 kmpl,10.8–12.0,,12.0
Tata,Curvv,Coupe SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI)",XZ,5,420,15–17 kmpl,12.0–14.0,,14.0
Tata,Curvv,Coupe SUV,Petrol,Manual,"1.2L Turbo Revotron 110 bhp, 150 Nm, 15–17 kmpl (ARAI)",XZ+ Prime,5,420,15–17 kmpl,14.0–16.5,,16.5
Tata,Curvv,Coupe SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 14–16 kmpl (ARAI), 6‑speed DCT",XZ,5,420,14–16 kmpl,11.5–13.0,,13.0
Tata,Curvv,Coupe SUV,Petrol,Automatic,"1.2L Turbo Revotron 110 bhp, 150 Nm, 14–16 kmpl (ARAI), 6‑speed DCT",XZ+ Prime,5,420,14–16 kmpl,13.0–17.0,,17.0
Tata,Curvv EV,Coupe SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",STD,5,420,450–480 km (ARAI),17.5–19.0,60.0,19.0
Tata,Curvv EV,Coupe SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",Medium,5,420,450–480 km (ARAI),19.0–21.0,60.0,21.0
Tata,Curvv EV,Coupe SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",Long Range,5,420,450–480 km (ARAI),21.0–24.0,60.0,24.0
Tata,Curvv EV,Coupe SUV,Electric,Automatic,"165 kW PMSM Motor, 60 kWh Battery",Long Range,5,420,450–480 km (ARAI),21.0–24.0,60.0,24.0
