Mahindra,XUV300,Diesel AMT,Hatchback,Diesel,Automatic AMT,1.5L Diesel (110PS/250Nm),12.00,18 kmpl,5,Not specified,5 Star,Diesel AMT mid,Diesel AMT XUV300,Powerful AMT diesel,Price higher,Diesel AMT,https://auto.mahindra.com
Mahindra,XUV300,Turbo Diesel,Hatchback,Diesel,Manual,1.5L Turbo Diesel (130PS/270Nm),12.50,18 kmpl,5,Not specified,5 Star,Turbo Diesel 6 airbags,Top Turbo Diesel XUV300,Best Turbo Diesel,High price,Top Turbo Diesel,https://auto.mahindra.com
Mahindra,XUV300,Turbo Diesel AMT,Hatchback,Diesel,Automatic AMT,1.5L Turbo Diesel (130PS/270Nm),13.50,17.5 kmpl,5,Not specified,5 Star,Turbo Diesel AMT,Top AMT Turbo Diesel,Ultimate AMT Turbo,Most expensive,Ultimate AMT Turbo,https://auto.mahindra.com
Mahindra,Thar,TC,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),10.50,15 kmpl,4,Not specified,Not specified,Rugged offroad basic,Entry Thar offroad,Legendary offroad,Basic features,Offroad entry,https://auto.mahindra.com
Mahindra,Thar,TC AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),11.50,14.5 kmpl,4,Not specified,Not specified,AT rugged entry,AT entry Thar,Easy AT offroad entry,AT price,AT entry,https://auto.mahindra.com
Mahindra,Thar,TL,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),11.50,15 kmpl,4,Not specified,Not specified,Rugged offroad premium,Popular Thar,Good balance,Price higher,Value Thar,https://auto.mahindra.com
Mahindra,Thar,TL AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/110PS/250Nm),12.50,14.5 kmpl,4,Not specified,Not specified,AT rugged premium,AT Thar premium,Easy AT offroad,AT price,AT Thar,https://auto.mahindra.com
Mahindra,Thar,TM,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),12.50,15 kmpl,4,Not specified,Not specified,Rugged offroad feature,Feature Thar,Good features,Manual,Feature Thar,https://auto.mahindra.com
Mahindra,Thar,TM AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),13.50,14.5 kmpl,4,Not specified,Not specified,AT rugged feature,AT feature Thar,Easy AT feature,AT price,AT feature,https://auto.mahindra.com
Mahindra,Thar,TR,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),13.50,14.5 kmpl,4,Not specified,Not specified,AT offroad premium,AT Thar,Easy AT offroad,AT price,AT Thar,https://auto.mahindra.com
Mahindra,Thar,CXO,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),14.50,15 kmpl,4,Not specified,Not specified,CXO premium offroad,CXO Thar,Premium offroad,Expensive,CXO Thar,https://auto.mahindra.com
Mahindra,Thar,CXO AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),15.50,14.5 kmpl,4,Not specified,Not specified,CXO AT premium,CXO AT Thar,Premium AT offroad,Expensive,CXO AT,https://auto.mahindra.com
Mahindra,Thar,AXO,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),15.50,15 kmpl,4,Not specified,Not specified,AXO ultimate offroad,AXO Thar,Ultimate offroad,Most expensive,Ultimate Thar,https://auto.mahindra.com
Mahindra,Thar,AXO AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),16.50,14.5 kmpl,4,Not specified,Not specified,AXO AT ultimate,AXO AT Thar,Ultimate AT offroad,Most expensive,Ultimate AT,https://auto.mahindra.com
Mahindra,Thar,AXO LT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),17.50,14.5 kmpl,4,Not specified,Not specified,AXO LT ultimate,AXO LT Thar,Ultimate LT offroad,Most expensive,Ultimate LT,https://auto.mahindra.com
Mahindra,Thar_Cro roof,Hardtop,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),12.50,15 kmpl,4,Not specified,Not specified,Hardtop offroad,Hardtop Thar,Unique hardtop,Price higher,Hardtop Thar,https://auto.mahindra.com
Mahindra,Thar_Cro roof,Hardtop AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),13.50,14.5 kmpl,4,Not specified,Not specified,Hardtop AT,AT Hardtop Thar,Unique AT hardtop,Price higher,AT Hardtop,https://auto.mahindra.com
Mahindra,Thar_ROCK,ROCK,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),13.50,15 kmpl,4,Not specified,Not specified,ROCK rugged offroad,ROCK Thar,ROCK offroad special,Price higher,ROCK offroad,https://auto.mahindra.com
Mahindra,Thar_ROCK,ROCK AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),14.50,14.5 kmpl,4,Not specified,Not specified,ROCK AT,AT ROCK Thar,AT ROCK offroad,Price higher,AT ROCK,https://auto.mahindra.com
Mahindra,Thar_SUV,SUV,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),14.50,15 kmpl,4,Not specified,Not specified,SUV rugged offroad,SUV Thar,SUV offroad special,Price higher,SUV offroad,https://auto.mahindra.com
Mahindra,Thar_SUV,SUV AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),15.50,14.5 kmpl,4,Not specified,Not specified,SUV AT,AT SUV Thar,AT SUV offroad,Price higher,AT SUV,https://auto.mahindra.com
Mahindra,Thar_AXO_base,AXO base,SUV,Petrol,Manual,1.5L Diesel (110PS/250Nm),16.50,15 kmpl,4,Not specified,Not specified,AXO base premium,AXO base Thar,AXO base special,Expensive,AXO base,https://auto.mahindra.com
Mahindra,Thar_AXO_base,AXO base AT,SUV,Petrol,Automatic AT,1.5L Diesel (110PS/250Nm),17.50,14.5 kmpl,4,Not specified,Not specified,AXO base AT,AT AXO base Thar,AT AXO base special,Expensive,AT AXO base,https://auto.mahindra.com
Mahindra,eKMPiO EV,Standard,EV,Electric,Automatic,30.5 kWh Electric Motor (104 bhp),14.50,250 km,2,Not specified,Not specified,Basic EV commercial,Entry eKMPiO EV,Budget EV commercial,Basic EV infra,Budget EV commercial,https://auto.mahindra.com
Mahindra,eKMPiO EV,Plus,EV,Electric,Automatic,30.5 kWh Electric Motor (104 bhp),15.50,250 km,2,Not specified,Not specified,EV commercial premium,Premium eKMPiO EV,Better EV features,Expensive,Premium EV commercial,https://auto.mahindra.com
Mahindra,BoldRock EV,Standard,EV SUV,Electric,Automatic,40 kWh Electric Motor (150 bhp),16.50,300 km,5,Not specified,Not specified,Basic EV SUV,Entry BoldRock EV,Budget EV SUV,Basic EV infra,Budget EV SUV,https://auto.mahindra.com
Mahindra,BoldRock EV,Plus,EV SUV,Electric,Automatic,40 kWh Electric Motor (150 bhp),17.50,300 km,5,Not specified,Not specified,EV SUV premium,Premium BoldRock EV,Better EV SUV features,Expensive,Premium EV SUV,https://auto.mahindra.com
Mahindra,BoldRock EV,Max,EV SUV,Electric,Automatic,50 kWh Electric Motor (170 bhp),19.50,350 km,5,Not specified,Not specified,EV SUV max,Max BoldRock EV,Max EV SUV,Most expensive,Max EV SUV,https://auto.mahindra.com
Mahindra,XUV3W,Standard,Compact SUV,Petrol,Manual,1.2L Petrol (83PS/114Nm),7.50,18 kmpl,5,Not specified,Not specified,Basic compact SUV,Entry XUV3W,Budget compact SUV,Basic features,Budget compact,https://auto.mahindra.com
Mahindra,XUV3W,Plus,Compact SUV,Petrol,Manual,1.2L Petrol (83PS/114Nm),8.50,18 kmpl,5,Not specified,Not specified,Compact SUV premium,Premium XUV3W,Better features,Expensive,Premium compact,https://auto.mahindra.com
Mahindra,XUV3W,Max,Compact SUV,Petrol,Manual,1.2L Petrol (83PS/114Nm),9.50,18 kmpl,5,Not specified,Not specified,Compact SUV max,Max XUV3W,Max features,Most expensive,Max compact,https://auto.mahindra.com
Mahindra,PeEC,Standard,EV,Electric,Automatic,30.5 kWh Electric Motor (104 bhp),14.50,250 km,2,Not specified,Not specified,Basic EV commercial,Entry PeEC EV,Budget EV commercial,Basic EV infra,Budget EV commercial,https://auto.mahindra.com
Mahindra,PeEC,Plus,EV,Electric,Automatic,30.5 kWh Electric Motor (104 bhp),15.50,250 km,2,Not specified,Not specified,EV commercial premium,Premium PeEC EV,Better EV features,Expensive,Premium EV commercial,https://auto.mahindra.com
Mahindra,BlazeX,Standard,Bus,Diesel,Manual,3.6L Diesel (120PS),15.50,10 kmpl,20,Not specified,Not specified,Basic commercial bus,Entry BlazeX bus,Budget commercial bus,Basic features,Budget bus,https://auto.mahindra.com
Mahindra,BlazeX,Plus,Bus,Diesel,Manual,3.6L Diesel (120PS),16.50,10 kmpl,20,Not specified,Not specified,Bus premium,Premium BlazeX bus,Better bus features,Expensive,Premium bus,https://auto.mahindra.com
Mahindra,Supro,Standard,Commercial,Petrol,Manual,1.2L Petrol (60PS),3.50,20 kmpl,2,Not specified,Not specified,Basic commercial,Entry Supro commercial,Budget commercial,Basic features,Budget commercial,https://auto.mahindra.com
Mahindra,Supro,Plus,Commercial,Petrol,Manual,1.2L Petrol (60PS),4.00,20 kmpl,2,Not specified,Not specified,Commercial premium,Premium Supro commercial,Better features,Expensive,Premium commercial,https://auto.mahindra.com
Mahindra,Jeeto,Standard,Pickup,Petrol,Manual,1.2L Petrol (60PS),4.50,18 kmpl,2,Not specified,Not specified,Basic pickup,Entry Jeeto pickup,Budget pickup,Basic features,Budget pickup,https://auto.mahindra.com
Mahindra,Jeeto,Plus,Pickup,Petrol,Manual,1.2L Petrol (60PS),5.00,18 kmpl,2,Not specified,Not specified,Pickup premium,Premium Jeeto pickup,Better features,Expensive,Premium pickup,https://auto.mahindra.com
Mahindra,Bolt,Standard,Pickup,Petrol,Manual,1.2L Petrol (60PS),5.50,18 kmpl,2,Not specified,Not specified,Basic pickup premium,Premium Bolt pickup,Better features,Expensive,Premium pickup,https://auto.mahindra.com
brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Mahindra,BE.6,Pack One,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),18.90,556 km,5,455,5 Star,Basic EV coupe,Entry BE.6,Budget Born Electric coupe,Basic EV infra,Budget BE.6,https://auto.mahindra.com
Mahindra,BE.6,Pack One 7.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),19.40,556 km,5,455,5 Star,Basic EV + charger,Entry BE.6 with charger,Budget with charger,Charger extra,Budget BE.6 charger,https://auto.mahindra.com
Mahindra,BE.6,Pack One 11.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),19.65,556 km,5,455,5 Star,Basic EV + fast charger,Entry BE.6 fast charger,Budget fast charger,Expensive charger,Budget BE.6 fast,https://auto.mahindra.com
Mahindra,BE.6,Pack One Above,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),21.25,556 km,5,455,5 Star,Touchscreen mid EV,Mid BE.6 entry,Better features,Price higher,Mid BE.6 entry,https://auto.mahindra.com
Mahindra,BE.6,Pack One Above 7.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),21.75,556 km,5,455,5 Star,Mid EV + charger,Mid BE.6 charger,Better with charger,Price higher,Mid BE.6 charger,https://auto.mahindra.com
Mahindra,BE.6,Pack One Above 11.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),22.00,556 km,5,455,5 Star,Mid EV + fast charger,Mid BE.6 fast charger,Better fast charger,Expensive,Mid BE.6 fast,https://auto.mahindra.com
Mahindra,BE.6,Pack Two,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),21.90,556 km,5,455,5 Star,Touchscreen premium EV,Mid BE.6 premium,Good features,Price higher,Mid BE.6 premium,https://auto.mahindra.com
Mahindra,BE.6,Pack Two 7.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),22.40,556 km,5,455,5 Star,Premium EV + charger,Mid BE.6 charger,Good with charger,Price higher,Mid BE.6 charger,https://auto.mahindra.com
Mahindra,BE.6,Pack Two 11.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),22.65,556 km,5,455,5 Star,Premium EV + fast charger,Mid BE.6 fast,Good fast charger,Expensive,Mid BE.6 fast,https://auto.mahindra.com
Mahindra,BE.6,Pack Two 79kwh,EV Coupe SUV,Electric,Automatic,79 kWh Electric Motor (286 PS),23.50,682 km,5,455,5 Star,Big battery EV,Big BE.6 battery,Better range,Price higher,Big BE.6,https://auto.mahindra.com
Mahindra,BE.6,Pack Two 79kwh 7.2kw Charger,EV Coupe SUV,Electric,Automatic,79 kWh Electric Motor (286 PS),24.00,682 km,5,455,5 Star,Big battery + charger,Big BE.6 charger,Better range charger,Price higher,Big BE.6 charger,https://auto.mahindra.com
Mahindra,BE.6,Pack Two 79kwh 11.2kw Charger,EV Coupe SUV,Electric,Automatic,79 kWh Electric Motor (286 PS),24.25,682 km,5,455,5 Star,Big battery + fast charger,Big BE.6 fast,Best range fast,Expensive,Big BE.6 fast,https://auto.mahindra.com
Mahindra,BE.6,FE2,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),23.69,556 km,5,455,5 Star,FE2 special edition,FE2 BE.6,Special features,Price higher,FE2 edition,https://auto.mahindra.com
Mahindra,BE.6,FE3,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),24.49,556 km,5,455,5 Star,FE3 special edition,FE3 BE.6,Better special,Price higher,FE3 edition,https://auto.mahindra.com
Mahindra,BE.6,Batman Edition,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),24.99,556 km,5,455,5 Star,Batman themed EV,Batman BE.6,Unique Batman,Expensive,Batman edition,https://auto.mahindra.com
Mahindra,BE.6,Pack Three Select,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),24.50,556 km,5,455,5 Star,Touchscreen top EV,Top BE.6 select,Best features select,Price higher,Top BE.6 select,https://auto.mahindra.com
Mahindra,BE.6,Pack Three Select 7.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),25.00,556 km,5,455,5 Star,Top EV + charger,Top BE.6 charger,Best with charger,Price higher,Top BE.6 charger,https://auto.mahindra.com
Mahindra,BE.6,Pack Three Select 11.2kw Charger,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),25.25,556 km,5,455,5 Star,Top EV + fast charger,Top BE.6 fast,Best fast charger,Expensive,Top BE.6 fast,https://auto.mahindra.com
Mahindra,BE.6,Pack Three,EV Coupe SUV,Electric,Automatic,59 kWh Electric Motor (231 PS),26.90,556 km,5,455,5 Star,Touchscreen ultimate EV,Ultimate BE.6,Ultimate features,Most expensive,Ultimate BE.6,https://auto.mahindra.com
Mahindra,BE.6,Pack Three 79kwh 7.2kw Charger,EV Coupe SUV,Electric,Automatic,79 kWh Electric Motor (286 PS),27.40,682 km,5,455,5 Star,Big battery top + charger,Ultimate BE.6 big charger,Ultimate range charger,Expensive,Ultimate BE.6 big,https://auto.mahindra.com
Mahindra,BE.6,Pack Three 79kwh 11.2kw Charger,EV Coupe SUV,Electric,Automatic,79 kWh Electric Motor (286 PS),27.65,682 km,5,455,5 Star,Big battery top + fast,Ultimate BE.6 big fast,Best ultimate fast,Most expensive,Ultimate BE.6 ultimate,https://auto.mahindra.com
Mahindra,BE.09,Standard,EV SUV,Electric,Automatic,80 kWh Electric Motor (~400 PS),22.00,450 km,5,500,5 Star,Basic EV luxury SUV,Entry BE.09,Budget luxury EV,Basic EV infra,Budget luxury EV,https://auto.mahindra.com
Mahindra,BE.09,Plus,EV SUV,Electric,Automatic,80 kWh Electric Motor (~400 PS),24.00,450 km,5,500,5 Star,Touchscreen EV luxury SUV,Mid BE.09,Better luxury features,Price higher,Mid luxury EV,https://auto.mahindra.com
Mahindra,BE.09,Max,EV SUV,Electric,Automatic,80 kWh Electric Motor (~400 PS),27.00,450 km,5,500,5 Star,Touchskin ultimate EV,Ultimate BE.09,Ultimate luxury,Most expensive,Ultimate luxury EV,https://auto.mahindra.com
Mahindra,XUV.9e,Standard,EV SUV,Electric,Automatic,79 kWh Electric Motor (340 PS),21.90,580 km,5,Not specified,5 Star,Basic EV XUV SUV,Entry XUV.9e,Budget XUV EV,Basic EV infra,Budget XUV EV,https://auto.mahindra.com
Mahindra,XUV.9e,Plus,EV SUV,Electric,Automatic,79 kWh Electric Motor (340 PS),24.90,580 km,5,Not specified,5 Star,Touchscreen EV XUV SUV,Mid XUV.9e,Better XUV features,Price higher,Mid XUV EV,https://auto.mahindra.com
Mahindra,XUV.9e,Max,EV SUV,Electric,Automatic,79 kWh Electric Motor (340 PS),27.90,580 km,5,Not specified,5 Star,Touchscreen ultimate EV XUV,Ultimate XUV.9e,Ultimate XUV,Most expensive,Ultimate XUV EV,https://auto.mahindra.com
