brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Tata,Punch,XZ,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),6.85,18.74 kmpl,5,230,5 Star Bharat NCAP,Touchscreen 4 airbags cruise,Feature rich mid,Good features safety,Price higher,Feature buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XZ+,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),7.35,18.74 kmpl,5,230,5 Star Bharat NCAP,6 airbags ADAS panoramic,Top variant best features,Best safety features,Expensive,Safety premium buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XM Adventure,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),6.15,18.74 kmpl,5,230,5 Star Bharat NCAP,Adventure styling rugged,Adventure edition SUV,Unique styling,Price higher,Adventure lovers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XTEC,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),6.65,18.74 kmpl,5,230,5 Star Bharat NCAP,Connected tech touchscreen,New tech variant,Good connectivity,New model,Tech buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XTEC AMT,SUV,Petrol,Automatic AMT,1.2L Revotron (118.58PS/113Nm),7.15,18 kmpl,5,230,5 Star Bharat NCAP,AMT connected tech touchscreen,Easy drive tech,Convenient driving,AMT lag,City convenience,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XZ+ Adventure,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),7.85,18.74 kmpl,5,230,5 Star Bharat NCAP,Adventure top variant 6 airbags,Top adventure SUV,Best features adventure,Expensive,Adventure premium,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XM CNG,SUV,CNG,Manual,1.2L CNG,6.45,26.99 km/kg,5,230,5 Star Bharat NCAP,CNG option entry SUV,Budget CNG SUV,Cost effective fuel,Less power,CNG SUV buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XTEC CNG,SUV,CNG,Manual,1.2L CNG,7.05,26.99 km/kg,5,230,5 Star Bharat NCAP,CNG connected tech,New CNG tech variant,Better mileage,Slower,CNG tech buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XZ+ CNG,SUV,CNG,Manual,1.2L CNG,7.95,26.99 km/kg,5,230,5 Star Bharat NCAP,CNG 6 airbags ADAS,Top CNG SUV safety,Best CNG safety,Expensive,CNG safety premium,https://cars.tatamotors.com/support/brochures.html
Tata,Punch EV,Smart,SUV,Electric,Automatic,127 bhp Electric Motor,9.69,350 km,5,230,5 Star Bharat NCAP,6 airbags basic EV tech,Entry EV SUV affordable,Affordable EV SUV,Basic features,Budget EV buyers,https://ev.tatamotors.com
Tata,Punch EV,Air,SUV,Electric,Automatic,127 bhp Electric Motor,10.49,350 km,5,230,5 Star Bharat NCAP,Touchscreen connected tech,Mid EV variant features,Good features EV,Charging infra,Feature EV buyers,https://ev.tatamotors.com
Tata,Punch EV,Adventure,SUV,Electric,Automatic,127 bhp Electric Motor,11.29,350 km,5,230,5 Star Bharat NCAP,Adventure styling EV SUV,Adventure EV edition,Unique EV styling,Price higher,Adventure EV,https://ev.tatamotors.com
Tata,Punch EV,Empowered,SUV,Electric,Automatic,127 bhp Electric Motor,11.99,350 km,5,230,5 Star Bharat NCAP,ADAS panoramic sunroof,Top EV variant ADAS,Best EV features,Expensive,Premium EV buyers,https://ev.tatamotors.com
Tata,Punch EV,Adventure+,SUV,Electric,Automatic,127 bhp Electric Motor,12.59,350 km,5,230,5 Star Bharat NCAP,Adventure top EV features,Top adventure EV,Best adventure EV,Most expensive,Adventure premium EV,https://ev.tatamotors.com
Tata,Nexon,XM,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),7.37,17 kmpl,5,382,5 Star Global NCAP,Touchscreen steering controls,Entry subcompact SUV safety,Budget SUV safe,Basic features,Budget SUV safety,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XE,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),7.67,17 kmpl,5,382,5 Star Global NCAP,Basic features manual AC,Most affordable Nexon,M minimal features,Manual only,Budget entry,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XT,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),8.17,17 kmpl,5,382,5 Star Global NCAP,Touchscreen dual airbags,Popular mid variant,Good balance,AMT not available,Value buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),8.67,17 kmpl,5,382,5 Star Global NCAP,Touchscreen 4 airbags,Feature rich mid,Good features,Price higher,Feature buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ+,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),9.17,17 kmpl,5,382,5 Star Global NCAP,6 airbags TPMS ESP,Top variant safety,Best safety features,Expensive,Safety buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ+ Dark,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),9.47,17 kmpl,5,382,5 Star Global NCAP,Dark edition special styling,Dark edition styling,Unique dark color,Limited stock,Style buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ+ Maratha,Subcompact SUV,Petrol,Manual,1.2L Turbo (120PS/170Nm),9.67,17 kmpl,5,382,5 Star Global NCAP,Maratha edition special,Maratha special edition,Unique edition,Limited,Special buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XE Diesel,Subcompact SUV,Diesel,Manual,1.5L Diesel (110PS/260Nm),8.87,24.08 kmpl,5,382,5 Star Global NCAP,Diesel entry manual,Entry diesel efficient,Best mileage diesel,Only top,Diesel buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ Diesel,Subcompact SUV,Diesel,Manual,1.5L Diesel (110PS/260Nm),9.87,24.08 kmpl,5,382,5 Star Global NCAP,Diesel mid variant,Popular diesel,Good diesel features,Price,Diesel value,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ+ Diesel,Subcompact SUV,Diesel,Manual,1.5L Diesel (110PS/260Nm),10.37,24.08 kmpl,5,382,5 Star Global NCAP,Diesel 6 airbags,Top diesel safety,Best diesel safety,Expensive,Diesel safety,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XMA+,Subcompact SUV,Diesel,Manual,1.5L Diesel (110PS/260Nm),9.37,24.08 kmpl,5,382,5 Star Global NCAP,Diesel AMT automatic,Diesel AMT convenience,Easy diesel drive,AMT lag,Convenience diesel,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XTEC CNG,Subcompact SUV,CNG,Manual,1.2L CNG,8.87,17.44 kmpl,5,382,5 Star Global NCAP,CNG connected tech,New CNG Nexon tech,Better CNG mileage,Slower,CNG tech,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon,XZ+ CNG,Subcompact SUV,CNG,Manual,1.2L CNG,9.87,17.44 kmpl,5,382,5 Star Global NCAP,CNG 6 airbags ADAS,Top CNG safety,Best CNG safety,Expensive,CNG safety,https://cars.tatamotors.com/support/brochures.html
Tata,Nexon EV,Smart,Subcompact SUV,Electric,Automatic,142 bhp Electric Motor,12.49,489 km,5,382,5 Star,6 airbags basic EV tech,Entry EV Nexon affordable,Affordable EV Nexon,Basic features,Budget EV Nexon,https://ev.tatamotors.com
Tata,Nexon EV,XZ+,Subcompact SUV,Electric,Automatic,142 bhp Electric Motor,13.99,489 km,5,382,5 Star,Touchscreen 6 airbags,Mid EV variant,Good EV features,Charging infra,Feature EV,https://ev.tatamotors.com
Tata,Nexon EV,XZ+ Lux,Subcompact SUV,Electric,Automatic,142 bhp Electric Motor,15.49,489 km,5,382,5 Star,Luxury premium EV features,Luxury EV variant,Best EV features,Expensive,Premium EV,https://ev.tatamotors.com
Tata,Nexon EV,XZ+ Dark,Subcompact SUV,Electric,Automatic,142 bhp Electric Motor,14.99,489 km,5,382,5 Star,Dark edition EV styling,Dark EV edition,Unique dark EV,Limited,Style EV,https://ev.tatamotors.com
Tata,Harrier,XE,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),12.89,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen steering controls,Entry large SUV premium,Budget premium SUV,Higher fuel,Premium budget,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XM,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),13.89,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen dual airbags,Popular mid variant,Good balance premium,Price higher,Value premium,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XT,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),14.89,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen 4 airbags,Feature rich mid,Best features mid,Manual only,Feature premium,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XZ,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),15.89,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen 6 airbags,Top safety SUV,Best safety large,Expensive,Safety premium,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XZ+,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),16.89,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,ADAS 6 airbags panoramic,Top variant ADAS,Best features ADAS,Most expensive,Top premium,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XZ+ Dark,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),17.39,14.6 kmpl,5,Not specified,5 Star Bharat NCAP,Dark edition special SUV,Dark SUV edition,Unique dark,Limited,Dark premium,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XZ Petrol,SUV,Petrol,Manual,1.5L Turbo Petrol,18.89,15 kmpl,5,Not specified,5 Star Bharat NCAP,Petrol variant option,Petrol large SUV,Petrol option,Less efficient,Petrol buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier,XZ+ Petrol,SUV,Petrol,Automatic AT,1.5L Turbo Petrol,19.89,15 kmpl,5,Not specified,5 Star Bharat NCAP,Petrol AT top variant,Top petrol AT,Best petrol AT,Expensive,Premium petrol,https://cars.tatamotors.com/support/brochures.html
Tata,Harrier EV,SeriesX,SUV,Electric,Automatic,390 bhp 75 kWh Electric,21.49,627 km,5,Not specified,5 Star,6-7 airbags ADAS premium,Entry Harrier EV premium,Affordable premium EV,Basic EV infra,Budget premium EV,https://ev.tatamotors.com
Tata,Harrier EV,XZ+,SUV,Electric,Automatic,390 bhp 75 kWh Electric,24.49,627 km,5,Not specified,5 Star,Touchscreen ADAS premium,Mid EV premium,Good EV features,Expensive,Feature premium EV,https://ev.tatamotors.com
Tata,Harrier EV,XZ+ Lux,SUV,Electric,Automatic,390 bhp 75 kWh Electric,27.49,627 km,5,Not specified,5 Star,Luxury premium EV top,Luxury EV top,Best luxury EV,Most expensive,Luxury premium,https://ev.tatamotors.com
Tata,Harrier EV,Top End,SUV,Electric,Automatic,390 bhp 75 kWh Electric,30.23,627 km,5,Not specified,5 Star,Top EV all features,Top EV variant,Ultimate EV,Price,Ultimate premium,https://ev.tatamotors.com
Tata,Safari,XE,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),13.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen steering luxury,Entry luxury SUV 7 seater,Budget luxury,M fuel consumption,Luxury budget,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XM,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),14.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen dual airbags,Popular mid luxury,Good balance luxury,Price,Luxury value,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XT,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),15.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen 4 airbags,Feature rich mid,Best features,Manual,Luxury feature,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XZ,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),16.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,Touchscreen 6 airbags,Top safety luxury,Best safety,Expensive,Safety luxury,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XZ+,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),17.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,ADAS 6 airbags plush,Top ADAS luxury,Ultimate ADAS,Most expensive,Top luxury,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XZ+ Extreme,SUV,Diesel,Manual,2.0L Kryotec (167.62PS/350Nm),18.29,14.5 kmpl,5,Not specified,5 Star Bharat NCAP,Extreme edition luxury,Extreme luxury edition,Unique extreme,Limited,Extreme luxury,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XZ Petrol,SUV,Petrol,Manual,1.5L Turbo Petrol,20.29,15 kmpl,5,Not specified,5 Star Bharat NCAP,Petrol luxury option,Petrol Safari,Petrol luxury,Less efficient,Petrol luxury,https://cars.tatamotors.com/support/brochures.html
Tata,Safari,XZ+ Petrol,SUV,Petrol,Automatic AT,1.5L Turbo Petrol,21.29,15 kmpl,5,Not specified,5 Star Bharat NCAP,Petrol AT top luxury,Top petrol AT luxury,Ultimate petrol AT,Expensive,Premium petrol luxury,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XM,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),6.3,19.33 kmpl,5,Not specified,5 Star Global NCAP,Touchscreen steering,Budget safest hatch,Most affordable safe,Basic features,Budget safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XE,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),6.6,19.33 kmpl,5,Not specified,5 Star Global NCAP,Basic manual AC,Entry hatch safe,M minimal,Manual only,Entry safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XT,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),7.1,19.33 kmpl,5,Not specified,5 Star Global NCAP,Touchscreen dual airbags,Popular mid safe,Good balance,Price,Value safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),7.6,19.33 kmpl,5,Not specified,5 Star Global NCAP,Touchscreen 4 airbags,Feature mid safe,Good features,Manual,Feature safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ+,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),8.1,19.33 kmpl,5,Not specified,5 Star Global NCAP,6 airbags premium,Top safe variant,Best safety,Expensive,Safe premium,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ+ iTurage,Hatchback,Petrol,Manual,1.2L Petrol (86PS/113Nm),8.6,19.33 kmpl,5,Not specified,5 Star Global NCAP,iTurage edition special,Special iTurage edition,Unique edition,Limited,iTurage buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ+ Turbo,Hatchback,Petrol,Manual,1.2L Turbo (110PS/140Nm),9.1,18 kmpl,5,Not specified,5 Star Global NCAP,Turbo 6 airbags,Top turbo safe,Best turbo,High price,Turbo safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ+ Dark Turbo,Hatchback,Petrol,Manual,1.2L Turbo (110PS/140Nm),9.6,18 kmpl,5,Not specified,5 Star Global NCAP,Dark turbo edition,Dark turbo special,Unique dark turbo,Limited,Dark turbo,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XE Diesel,Hatchback,Diesel,Manual,1.5L Diesel (90PS/200Nm),7.3,26.2 kmpl,5,Not specified,5 Star Global NCAP,Diesel entry safe,Entry diesel safe,Best mileage diesel,Only top,Diesel safe,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ Diesel,Hatchback,Diesel,Manual,1.5L Diesel (90PS/200Nm),8.3,26.2 kmpl,5,Not specified,5 Star Global NCAP,Diesel mid safe,Popular diesel,Good diesel,Price,Diesel value,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XTEC CNG,Hatchback,CNG,Manual,1.2L CNG,7.8,24 km/kg,5,Not specified,5 Star Global NCAP,CNG connected tech,CNG tech hatch,Better CNG,Slower,CNG tech,https://cars.tatamotors.com/support/brochures.html
Tata,Altroz,XZ+ CNG,Hatchback,CNG,Manual,1.2L CNG,8.8,24 km/kg,5,Not specified,5 Star Global NCAP,CNG 6 airbags,Top CNG safe,Best CNG,Expensive,CNG safe,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago EV,Creative,Hatchback,Electric,Automatic,24 kWh Electric Motor,6.99,285 km,5,242,Not specified,Connected tech EV basic,Entry EV affordable,Budget EV,Basic,Budget EV,https://ev.tatamotors.com
Tata,Tiago EV,Creative+,Hatchback,Electric,Automatic,24 kWh Electric Motor,7.99,285 km,5,242,Not specified,Touchscreen EV tech,Mid EV variant,Good EV features,Infra,Feature EV,https://ev.tatamotors.com
Tata,Tiago EV,Creative Plus,Hatchback,Electric,Automatic,24 kWh Electric Motor,8.99,285 km,5,242,Not specified,More EV features,Plus EV variant,Better features,Price,Better EV,https://ev.tatamotors.com
Tata,Tiago EV,XZ+,Hatchback,Electric,Automatic,24 kWh Electric Motor,9.49,285 km,5,242,Not specified,6 airbags EV,Top EV safe,Top EV safety,Expensive,Top EV,https://ev.tatamotors.com
Tata,Tiago EV,XZ+ Lux,Hatchback,Electric,Automatic,24 kWh Electric Motor,9.99,285 km,5,242,Not specified,Luxury EV top,Luxury top,Ultimate EV,Most expensive,Ultimate EV,https://ev.tatamotors.com
Tata,Curvv,XE,SUV Coupe,Petrol,Manual,1.2L Turbo (123PS),9.7,17.4 kmpl,5,Not specified,Not specified,Touchscreen basic,SUV Coupe entry,Unique coupe SUV,Basic,Entry coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XM,SUV Coupe,Petrol,Manual,1.2L Turbo (123PS),10.7,17.4 kmpl,5,Not specified,Not specified,Touchscreen dual airbags,Popular mid coupe,Good balance,Price,Value coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XT,SUV Coupe,Petrol,Manual,1.2L Turbo (123PS),11.7,17.4 kmpl,5,Not specified,Not specified,Touchscreen 4 airbags,Feature mid coupe,Good features,Manual,Feature coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XZ,SUV Coupe,Petrol,Manual,1.2L Turbo (123PS),12.7,17.4 kmpl,5,Not specified,Not specified,Touchscreen 6 airbags,Top safety coupe,Best safety,Expensive,Safety coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XZ+,SUV Coupe,Petrol,Manual,1.2L Turbo (123PS),13.7,17.4 kmpl,5,Not specified,Not specified,ADAS 6 airbags,Top ADAS coupe,Ultimate ADAS,Most expensive,Top coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XM Diesel,SUV Coupe,Diesel,Manual,1.5L Diesel,14.7,23 kmpl,5,Not specified,Not specified,Diesel mid coupe,Popular diesel Coupe,Good diesel mileage,Price,Diesel coupe,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XZ Diesel,SUV Coupe,Diesel,Manual,1.5L Diesel,16.7,23 kmpl,5,Not specified,Not specified,Diesel top coupe,Top diesel,Best diesel,Expensive,Top diesel,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv,XZ+ Diesel,SUV Coupe,Diesel,Manual,1.5L Diesel,17.7,23 kmpl,5,Not specified,Not specified,Diesel ADAS top,Top diesel ADAS,Ultimate diesel,Most expensive,Ultimate diesel,https://cars.tatamotors.com/support/brochures.html
Tata,Curvv EV,SeriesX,SUV Coupe,Electric,Automatic,165 bhp 55 kWh,16.99,502 km,5,Not specified,5 Star,6 airbags ADAS,Entry Curvv EV,Unique EV coupe,Basic infra,Entry EV coupe,https://ev.tatamotors.com
Tata,Curvv EV,XZ+,SUV Coupe,Electric,Automatic,165 bhp 55 kWh,18.49,502 km,5,Not specified,5 Star,Touchscreen ADAS,Mid EV coupe,Good EV features,Expensive,Feature EV coupe,https://ev.tatamotors.com
Tata,Curvv EV,XZ+ Lux,SUV Coupe,Electric,Automatic,165 bhp 55 kWh,19.49,502 km,5,Not specified,5 Star,Luxury EV top,Top luxury EV,Ultimate EV coupe,Most expensive,Ultimate EV coupe,https://ev.tatamotors.com
Tata,Tigor,XM,Sedan,Petrol,Manual,1.2L Petrol (85 bhp),5.55,19.2 kmpl,5,Not specified,3 Star,Touchscreen basic,Budget sedan,Most affordable sedan,Basic features,Budget sedan,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XE,Sedan,Petrol,Manual,1.2L Petrol (85 bhp),5.85,19.2 kmpl,5,Not specified,3 Star,Basic manual AC,Entry sedan,M minimal,Manual,Entry sedan,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XT,Sedan,Petrol,Manual,1.2L Petrol (85 bhp),6.35,19.2 kmpl,5,Not specified,3 Star,Touchscreen dual airbags,Popular mid sedan,Good balance,Price,Value sedan,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XZ,Sedan,Petrol,Manual,1.2L Petrol (85 bhp),6.85,19.2 kmpl,5,Not specified,3 Star,Touchscreen 4 airbags,Feature mid sedan,Good features,Manual,Feature sedan,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XZ+,Sedan,Petrol,Manual,1.2L Petrol (85 bhp),7.35,19.2 kmpl,5,Not specified,3 Star,Connected tech premium,Top sedan variant,Best features,Expensive,Top sedan,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XM CNG,Sedan,CNG,Manual,1.2L CNG,6.35,26.49 km/kg,5,Not specified,3 Star,CNG basic sedan,Budget CNG sedan,Cost effective,Slower,Budget CNG,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XTEC CNG,Sedan,CNG,Manual,1.2L CNG,6.95,26.49 km/kg,5,Not specified,3 Star,CNG connected tech,CNG tech sedan,Better CNG,Price,Feature CNG,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor,XZ+ CNG,Sedan,CNG,Manual,1.2L CNG,7.95,26.49 km/kg,5,Not specified,3 Star,CNG premium top,Top CNG sedan,Top CNG features,Expensive,Top CNG,https://cars.tatamotors.com/support/brochures.html
Tata,Tigor EV,XZ+,Sedan,Electric,Automatic,73.75 bhp 26 kWh,12.49,315 km,5,Not specified,4 Star,2 airbags connected,Entry EV sedan,Budget EV sedan,Basic features,Budget EV sedan,https://ev.tatamotors.com
Tata,Tigor EV,XZ+ Lux,Sedan,Electric,Automatic,73.75 bhp 26 kWh,13.25,315 km,5,Not specified,4 Star,Luxury EV features,Luxury EV sedan,Better features,Price,Luxury EV,https://ev.tatamotors.com
Tata,Tigor EV,XZ+ Premium,Sedan,Electric,Automatic,73.75 bhp 26 kWh,13.75,315 km,5,Not specified,4 Star,Premium EV top,Top EV sedan,Ultimate EV,Most expensive,Ultimate EV sedan,https://ev.tatamotors.com
Tata,XPRES-T,Single,SUV,Petrol,Manual,1.2L Petrol (84.82 bhp),5.59,Not specified,5,419,4 Star,2 airbags basic,Fleet commercial SUV,Large boot affordable,Basic features,Fleet buyers,https://cars.tatamotors.com/support/brochures.html
Tata,XPRES-T,Fleet,SUV,CNG,Manual,1.2L CNG,6.49,Not specified,5,419,4 Star,CNG fleet option,Fleet CNG SUV,Cost effective fleet,Slower,Fleet CNG,https://cars.tatamotors.com/support/brochures.html
